Sale_Date,Company,Brand,Model,Production_Year,Country,Fuel_Type,Engine_Volume,Transmission,Drive_Type,Region,Area,Dealer_Center,Segment_2013,Class_2013,Quantity,Price_USD,Total_Price_USD
2019-01-31,Автоцентр-Бавария,BMW,6 серия,2018,DEU,F,2.0,Автомат,RWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,Спортивные автомобили,1.0,53491.29053,53491.29053
2019-02-28,Автоцентр-Бавария,BMW,7 серия,2018,DEU,F,4.4,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,F класс,1.0,107360.4857,107360.4857
2019-05-31,Автоцентр-Бавария,BMW,7 серия,2019,DEU,F,6.6,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,F класс,1.0,144373.6774,144373.6774
2019-06-30,Автоцентр-Бавария,BMW,7 серия,,DEU,F,3.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Легковые автомобили,F класс,1.0,93520.28222,93520.28222
2019-07-31,Автоцентр-Бавария,BMW,7 серия,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,F класс,2.0,93090.05084,186180.1017
2019-08-31,Автоцентр-Бавария,BMW,7 серия,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,F класс,1.0,92387.43518,92387.43518
2019-09-30,Автоцентр-Бавария,BMW,7 серия,2019,DEU,F,3.0,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,F класс,1.0,92301.25328,92301.25328
2019-09-30,Автоцентр-Бавария,BMW,7 серия,2019,DEU,F,6.6,Автомат,4WD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Легковые автомобили,F класс,1.0,141744.3672,141744.3672
2019-01-31,Автоцентр-Бавария,BMW,X1,2018,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Компактные SUV,2.0,36397.33464,72794.66929
2019-04-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,2.0,Автомат,4WD,Усть-каменогорск,Восточно-казахстанская Область,Автоцентр Бавария Восток,Внедорожники,Компактные SUV,1.0,36285.36123,36285.36123
2019-06-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Компактные SUV,1.0,35960.64056,35960.64056
2019-06-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,1.5,Автомат,FWD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Компактные SUV,1.0,29288.69782,29288.69782
2019-06-30,Автоцентр-Бавария,BMW,X1,2019,DEU,F,1.5,Автомат,FWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Компактные SUV,1.0,29288.69782,29288.69782
2019-07-31,Автоцентр-Бавария,BMW,X1,2019,DEU,F,2.0,Автомат,4WD,Нур-султан,Г.нур-султан,Автоцентр-Бавария Астана,Внедорожники,Компактные SUV,1.0,35795.20697,35795.20697
2019-07-31,Автоцентр-Бавария,BMW,X1,2019,DEU,F,1.5,Автомат,FWD,Алматы,Г.алматы,Автоцентр-Бавария Алматы,Внедорожники,Компактные SUV,1.0,29153.95788,29153.95788
2019-08-31,Автоцентр-Бавария,BMW,X1,2019,DEU,F,2.0,Автомат,4WD,Костанай,Костанайская Область,Hyundai Auto Kostanai,Внедорожники,Компактные SUV,1.0,35525.03554,35525.03554
