Год;Месяц;Компания;Бренд;Модель;Модификация;Год выпуска;Страна-производитель;Вид топлива;Объём двиг, л,;Коробка передач;Тип привода;Сегмент;Регион;Наименование дилерского центра;Тип клиента;Форма расчета;Количество;Цена, USD;Продажа, USD;Область;Сегментация 2013;Класс 2013;Сегментация Eng;Локализация производства
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Атырау;Caspi Auto Атырау;Физ. Лицо;;1;19734,05138;19734,05138;Атырауская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;19734,05138;19734,05138;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19734,05138;19734,05138;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;19734,05138;19734,05138;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;19734,05138;19734,05138;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Premium Almaty;Физ. Лицо;;1;19734,05138;19734,05138;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Алматы;Hyundai Auto Almaty;Физ. Лицо;;1;19734,05138;19734,05138;г.Алматы;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Active;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Актобе;Кол Авто;Физ. Лицо;;1;20260,99534;20260,99534;Актюбинская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;17889,74751;17889,74751;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;17889,74751;17889,74751;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Талдыкорган;Hyundai Центр Жетысу;Физ. Лицо;;1;18416,69148;18416,69148;Алматинская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Кокшетау;Hyundai Center Kokshetau;Физ. Лицо;;1;17889,74751;17889,74751;Акмолинская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Start;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;18416,69148;18416,69148;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;Hyundai Premium Astana;Физ. Лицо;;1;19207,10742;19207,10742;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Талдыкорган;Hyundai Центр Жетысу;Юр. Лицо;;1;19207,10742;19207,10742;Алматинская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Кызылорда;Best-Avto;Физ. Лицо;;1;19207,10742;19207,10742;Кызылординская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Атырау;Caspi Auto Атырау;Физ. Лицо;;1;18680,16346;18680,16346;Атырауская область;Легковые автомобили;C класс;C;Локальное производство
2019;Апрель;Astana Motors;Hyundai;Elantra;Hyundai Elantra AD FL Base;2019;Республика Казахстан;Бензин;1,6;6AT;2WD;C;Нур-Султан;HYUNDAI AUTO ASTANA;Физ. Лицо;;1;18680,16346;18680,16346;г.Нур-Султан;Легковые автомобили;C класс;C;Локальное производство
